id,predict_svm,predict_label
483,0,curved
484,1,center
485,0,curved
486,1,center
487,1,center
488,1,center
489,1,curved
490,1,center
491,0,curved
492,0,curved
493,0,curved
494,1,center
495,1,center
496,1,center
497,0,center
498,1,curved
499,0,center
500,0,center
501,0,curved
502,0,curved
503,1,center
504,1,curved
505,1,center
506,0,center
507,0,center
508,1,center
509,1,triangle
510,1,RoT
511,0,center
512,1,curved
513,0,curved
514,1,center
515,1,center
516,0,center
517,0,curved
518,0,center
519,1,diagonal
520,1,center
521,1,curved
522,0,curved
523,1,curved
524,0,curved
525,0,center
526,1,curved
527,1,curved
528,0,center
529,1,center
530,1,center
531,0,center
532,0,curved
533,0,RoT
534,1,curved
535,1,center
536,1,center
537,1,center
538,1,center
539,1,center
540,0,diagonal
541,0,center
542,0,center
543,0,center
544,0,curved
545,0,center
546,1,center
547,1,center
548,0,diagonal
549,1,curved
550,0,curved
551,1,center
552,0,center
553,1,curved
554,0,curved
555,1,symmetric
556,0,center
557,1,curved
558,1,curved
559,0,curved
560,0,curved
561,1,center
562,1,center
563,0,center
564,0,center
565,1,horizontal
566,0,center
567,0,curved
568,0,curved
569,1,center
570,0,curved
571,1,center
572,1,curved
573,1,center
574,1,center
575,1,curved
576,0,center
577,0,center
578,1,center
579,1,center
580,1,center
581,0,curved
582,0,center
583,1,center
584,0,curved
585,1,curved
586,1,curved
587,1,curved
588,1,curved
589,0,center
590,0,center
591,0,curved
592,0,center
593,0,curved
594,1,curved
595,0,curved
596,0,center
597,0,curved
598,0,curved
599,1,curved
600,1,center
601,1,curved
602,1,curved
603,0,center
604,0,center
605,1,center
606,1,curved
607,1,center
608,1,center
609,0,center
610,1,center
611,0,curved
612,1,symmetric
613,1,center
614,1,curved
615,1,center
616,0,curved
617,1,center
618,0,center
619,0,curved
620,0,symmetric
621,0,diagonal
622,1,center
623,1,center
624,0,curved
625,0,center
626,0,symmetric
627,1,center
628,0,center
629,0,center
630,0,center
631,0,curved
632,1,curved
633,1,center
634,1,curved
635,0,center
636,0,curved
637,0,curved
638,0,curved
639,0,curved
640,0,center
641,0,center
642,1,center
643,1,center
644,1,curved
645,1,center
646,0,curved
647,0,center
648,0,curved
649,0,center
650,0,diagonal
651,0,curved
652,0,curved
653,1,center
654,0,curved
655,1,center
656,1,center
657,0,center
658,0,center
659,1,center
660,1,center
661,0,curved
662,1,curved
663,1,center
664,0,center
665,1,center
666,0,center
667,0,curved
668,1,curved
669,1,center
670,0,curved
671,0,center
672,1,center
673,1,center
674,1,center
675,1,center
676,0,center
677,0,center
678,0,curved
679,0,symmetric
680,1,center
681,1,center
682,1,center
683,1,curved
684,0,center
685,0,center
686,0,center
687,1,center
688,1,RoT
689,0,center
690,1,center
691,1,center
692,0,center
693,1,center
694,1,center
695,0,diagonal
696,1,curved
697,1,center
698,1,RoT
699,1,center
700,0,curved
701,1,curved
702,1,center
703,1,center
704,0,center
705,0,curved
706,1,curved
707,1,curved
708,0,center
709,1,center
710,0,center
711,1,center
712,1,center
713,0,curved
714,0,curved
715,0,center
716,0,curved
717,0,center
718,0,curved
719,0,center
720,0,center
721,1,center
722,1,curved
723,1,curved
724,0,curved
725,0,center
726,1,curved
727,0,center
728,1,center
729,0,center
730,0,curved
731,1,curved
732,0,center
733,0,curved
734,0,center
735,0,curved
736,1,center
737,0,horizontal
738,1,center
739,0,curved
740,0,center
741,1,RoT
742,1,center
743,1,center
744,1,center
745,1,curved
746,0,curved
747,0,center
748,0,center
749,0,center
750,0,curved
751,1,center
752,1,center
753,1,curved
754,1,curved
755,0,center
756,0,center
757,1,curved
758,1,center
759,1,center
760,1,curved
761,0,diagonal
762,1,diagonal
763,1,center
764,1,center
765,1,curved
766,1,curved
767,1,center
768,0,center
769,1,curved
770,0,curved
771,0,curved
772,0,curved
773,1,curved
774,1,center
775,1,center
776,0,curved
777,0,curved
778,1,curved
779,0,center
780,0,curved
781,0,center
782,1,center
783,1,diagonal
784,1,curved
785,0,center
786,0,curved
787,0,center
788,1,center
789,1,curved
790,0,curved
791,0,center
792,0,center
793,1,curved
794,0,center
795,1,curved
796,0,center
797,0,curved
798,1,center
799,1,center
800,0,center
801,1,diagonal
802,1,curved
803,1,curved
804,1,center
805,1,curved
806,0,center
807,0,curved
808,0,curved
809,1,center
810,0,center
811,1,curved
812,0,center
813,0,center
814,0,center
815,0,center
816,0,curved
817,1,curved
818,0,curved
819,0,curved
820,0,center
821,1,center
822,1,center
823,1,curved
824,1,curved
825,1,center
826,1,center
827,1,center
828,1,center
829,0,curved
830,1,center
831,0,center
832,1,center
833,0,center
834,0,curved
835,0,center
836,0,curved
837,1,center
838,1,curved
839,0,curved
840,0,curved
841,1,center
842,1,curved
843,1,curved
844,1,curved
845,1,center
846,1,curved
847,0,triangle
848,1,curved
849,0,curved
850,1,curved
851,0,center
852,0,curved
853,0,center
854,0,center
855,1,center
856,0,center
857,0,curved
858,0,center
859,1,curved
860,1,curved
861,0,center
862,1,center
863,0,curved
864,0,curved
865,1,center
866,1,center
867,1,center
868,0,center
869,0,RoT
870,1,curved
871,0,center
872,0,center
873,1,curved
874,1,center
875,0,center
876,0,center
877,0,center
878,0,center
879,1,center
880,1,center
881,1,center
882,0,curved
883,1,center
884,1,center
885,0,symmetric
886,0,curved
887,0,curved
888,0,center
889,1,curved
890,0,center
891,0,center
892,0,curved
893,0,center
894,0,curved
895,1,curved
896,1,center
897,0,center
898,0,center
899,1,curved
900,0,center
901,0,center
902,0,center
903,1,center
904,0,symmetric
905,0,center
906,0,center
907,1,center
908,1,center
909,0,curved
910,0,curved
911,0,center
912,1,curved
913,0,curved
914,1,center
915,1,center
916,1,center
917,1,diagonal
918,0,curved
919,0,center
920,0,center
921,0,curved
922,1,center
923,0,curved
924,0,curved
925,1,center
926,0,curved
927,1,curved
928,1,center
929,1,center
930,0,center
931,0,curved
932,0,curved
933,1,curved
934,1,center
935,1,curved
936,0,curved
937,1,center
938,0,symmetric
939,0,center
940,1,center
941,0,center
942,0,curved
943,1,curved
944,0,curved
945,1,curved
946,0,center
947,0,curved
948,1,center
949,1,center
950,0,center
951,0,center
952,0,center
953,0,curved
954,0,curved
955,0,center
956,1,center
957,0,curved
958,0,curved
959,0,curved
960,1,curved
961,0,curved
962,1,curved
963,0,curved
964,1,center
965,0,curved
966,0,center
967,0,curved
968,0,curved
969,0,curved
970,0,center
971,1,curved
972,0,diagonal
973,1,center
974,0,curved
975,1,center
976,1,diagonal
977,0,curved
978,1,curved
979,1,center
980,0,center
981,1,center
982,0,center
983,0,center
984,0,center
985,0,center
986,0,curved
987,0,center
988,1,center
989,1,center
990,0,center
991,0,center
992,1,curved
993,1,center
994,1,curved
995,1,curved
996,1,center
997,1,center
998,1,diagonal
999,0,center
1000,1,center
